Airport_Name,Reason_Description,Reason_Count
"North Bend/Coos Bay, OR: Southwest Oregon Regional",Weather,2
"Oakland, CA: Metropolitan Oakland International",Carrier,23
"Oklahoma City, OK: Will Rogers World",Carrier,3
"Omaha, NE: Eppley Airfield",Carrier,2
"Ontario, CA: Ontario International",Weather,5
"Ontario, CA: Ontario International",Carrier,5
"Orlando, FL: Orlando International",Carrier,16
"Paducah, KY: Barkley Regional",Weather,2
"Palm Springs, CA: Palm Springs International",Carrier,2
"Pasco/Kennewick/Richland, WA: Tri Cities",Carrier,2
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,2
"Pellston, MI: Pellston Regional Airport of Emmet County",Carrier,1
"Pellston, MI: Pellston Regional Airport of Emmet County",Weather,1
"Peoria, IL: General Downing - Peoria International",Weather,1
"Petersburg, AK: Petersburg James A Johnson",Carrier,1
"Philadelphia, PA: Philadelphia International",Carrier,7
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,9
"Pittsburgh, PA: Pittsburgh International",Carrier,7
"Ponce, PR: Mercedita","National Air System",2
"Portland, OR: Portland International",Carrier,10
"Providence, RI: Theodore Francis Green State",Carrier,2
"Raleigh/Durham, NC: Raleigh-Durham International",Carrier,4
"Redding, CA: Redding Municipal",Weather,1
"Reno, NV: Reno/Tahoe International",Weather,12
"Rhinelander, WI: Rhinelander/Oneida County",Carrier,1
"Richmond, VA: Richmond International",Carrier,1
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Carrier,1
"Rochester, MN: Rochester International",Weather,2
"Rochester, NY: Greater Rochester International",Carrier,2
"Rock Springs, WY: Southwest Wyoming Regional",Weather,1
"Sacramento, CA: Sacramento International",Weather,8
"Saginaw/Bay City/Midland, MI: MBS International",Weather,2
"Salt Lake City, UT: Salt Lake City International",Weather,11
"San Antonio, TX: San Antonio International",Carrier,6
"San Diego, CA: San Diego International",Carrier,24
"San Francisco, CA: San Francisco International","National Air System",68
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,25
"San Juan, PR: Luis Munoz Marin International",Carrier,1
"San Luis Obispo, CA: San Luis County Regional",Weather,1
"Santa Ana, CA: John Wayne Airport-Orange County",Carrier,14
"Santa Barbara, CA: Santa Barbara Municipal",Weather,7
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Weather,4
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Carrier,1
"Savannah, GA: Savannah/Hilton Head International","National Air System",1
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","National Air System",1
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,1
"Seattle, WA: Seattle/Tacoma International",Weather,44
"Sioux Falls, SD: Joe Foss Field",Carrier,1
"Sitka, AK: Sitka Rocky Gutierrez",Carrier,2
"Spokane, WA: Spokane International",Weather,6
"St. Louis, MO: St Louis Lambert International",Carrier,12
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Weather,5
"Syracuse, NY: Syracuse Hancock International",Carrier,1
"Syracuse, NY: Syracuse Hancock International","National Air System",1
"Tampa, FL: Tampa International",Carrier,7
"Traverse City, MI: Cherry Capital",Weather,1
"Traverse City, MI: Cherry Capital",Carrier,1
"Trenton, NJ: Trenton Mercer",Carrier,1
"Tucson, AZ: Tucson International",Weather,3
"Washington, DC: Ronald Reagan Washington National",Carrier,11
"Washington, DC: Washington Dulles International",Carrier,6
"White Plains, NY: Westchester County",Carrier,2
"Wrangell, AK: Wrangell Airport",Carrier,2
"Yakutat, AK: Yakutat Airport",Carrier,1
